robot_id,started_to_process_item_at,finished_processing_item_at,sector,robot_started_from,delivery_station,total_distance,processing_lasted_in_seconds,battery_used_for_task,battery_after_processing_items,amount_of_items_processed
robot_2d,1716202725,1716202741,3,"{'x': 32, 'y': 47}","{'x': 49, 'y': 63}",27.65948512740269,16,16.04450987965049,83.95549012034951,1
robot_3d,1716202726,1716202749,3,"{'x': 32, 'y': 48}","{'x': 49, 'y': 63}",40.91027268644099,23,22.80046227621714,77.19953772378287,1
robot_4d,1716202728,1716202749,3,"{'x': 32, 'y': 49}","{'x': 49, 'y': 63}",36.86567927809496,21,20.751037690581427,79.24896230941857,1
robot_1c,1716202723,1716202751,2,"{'x': 32, 'y': 15}","{'x': 49, 'y': 0}",42.43503786130172,28,24.472518930650864,75.52748106934914,2
robot_1b,1716202723,1716202752,1,"{'x': 0, 'y': 46}","{'x': 17, 'y': 63}",47.03136121919768,29,27.675132796789857,72.32486720321015,2
robot_7d,1716202732,1716202753,3,"{'x': 32, 'y': 52}","{'x': 49, 'y': 63}",36.1049731745428,21,20.33906118488954,79.66093881511046,1
robot_1d,1716202723,1716202754,3,"{'x': 32, 'y': 46}","{'x': 49, 'y': 63}",52.816346879926,31,29.815665771179184,70.18433422882083,2
robot_6d,1716202730,1716202755,3,"{'x': 32, 'y': 51}","{'x': 49, 'y': 63}",42.58917607215591,25,24.912979217036124,75.08702078296389,2
robot_5d,1716202728,1716202755,3,"{'x': 32, 'y': 50}","{'x': 49, 'y': 63}",45.54667801266362,27,26.010509830844438,73.98949016915557,2
robot_14d,1716202741,1716202756,3,"{'x': 46, 'y': 63}","{'x': 49, 'y': 63}",22.40175425099138,15,13.36587712549569,86.63412287450431,1
robot_8c,1716202737,1716202757,2,"{'x': 51, 'y': 0}","{'x': 49, 'y': 0}",29.842149739632685,20,18.080527057007362,81.91947294299264,2
robot_6b,1716202735,1716202757,1,"{'x': 0, 'y': 51}","{'x': 17, 'y': 63}",35.28245473015089,22,21.978310440889107,78.0216895591109,2
robot_9d,1716202735,1716202757,3,"{'x': 47, 'y': 32}","{'x': 49, 'y': 63}",37.91071328650398,22,21.34908878570419,78.6509112142958,1
