robot_id,started_to_process_item_at,finished_processing_item_at,sector,robot_started_from,delivery_station,total_distance,processing_lasted_in_seconds,battery_used_for_task,battery_after_processing_items,amount_of_items_processed
robot_2d,1716215124,1716215140,3,"{'x': 32, 'y': 48}","{'x': 49, 'y': 63}",26.687137940129332,16,15.558336286013812,84.44166371398619,1
robot_4d,1716215125,1716215147,3,"{'x': 32, 'y': 50}","{'x': 49, 'y': 63}",37.337718932193525,22,20.98705751763071,79.01294248236928,1
robot_3d,1716215125,1716215149,3,"{'x': 32, 'y': 49}","{'x': 49, 'y': 63}",41.379288617128495,24,23.034970241560888,76.96502975843912,1
robot_7d,1716215130,1716215149,3,"{'x': 49, 'y': 32}","{'x': 49, 'y': 63}",31.270498235139236,19,17.92182371518776,82.07817628481224,1
robot_1c,1716215121,1716215149,2,"{'x': 32, 'y': 15}","{'x': 49, 'y': 0}",42.43503786130172,28,24.472518930650864,75.52748106934914,2
robot_1b,1716215122,1716215150,1,"{'x': 0, 'y': 45}","{'x': 17, 'y': 63}",46.69181926437999,28,27.50536181938101,72.49463818061898,2
robot_1d,1716215122,1716215153,3,"{'x': 32, 'y': 47}","{'x': 49, 'y': 63}",53.05879965760963,31,29.936892160021003,70.06310783997901,2
robot_13d,1716215139,1716215154,3,"{'x': 63, 'y': 48}","{'x': 49, 'y': 63}",23.971306350296537,15,14.253981332448243,85.74601866755175,1
robot_6b,1716215133,1716215156,1,"{'x': 0, 'y': 50}","{'x': 17, 'y': 63}",34.75459068515046,23,21.714378418388897,78.2856215816111,2
robot_5d,1716215126,1716215156,3,"{'x': 47, 'y': 32}","{'x': 49, 'y': 63}",50.61619908369136,30,28.54527036635831,71.4547296336417,2
robot_14d,1716215140,1716215156,3,"{'x': 63, 'y': 49}","{'x': 49, 'y': 63}",25.317821063276355,16,14.823910531638177,85.17608946836182,1
robot_8c,1716215136,1716215157,2,"{'x': 51, 'y': 0}","{'x': 49, 'y': 0}",29.842149739632685,21,18.080527057007362,81.91947294299264,2
robot_8d,1716215131,1716215157,3,"{'x': 50, 'y': 32}","{'x': 49, 'y': 63}",43.940775706254435,26,25.46179439040855,74.53820560959144,2
robot_2c,1716215123,1716215158,2,"{'x': 32, 'y': 16}","{'x': 49, 'y': 0}",55.37667473891007,35,31.144544559227402,68.8554554407726,2
robot_4b,1716215129,1716215159,1,"{'x': 0, 'y': 48}","{'x': 17, 'y': 63}",50.27314079052012,30,29.365043588435974,70.63495641156402,2
robot_3c,1716215126,1716215161,2,"{'x': 32, 'y': 17}","{'x': 49, 'y': 0}",56.723408389571844,35,31.757715558259246,68.24228444174075,2
robot_7b,1716215134,1716215161,1,"{'x': 0, 'y': 51}","{'x': 17, 'y': 63}",39.317218650859644,27,25.92945051965144,74.07054948034856,3
robot_8b,1716215138,1716215161,1,"{'x': 0, 'y': 52}","{'x': 17, 'y': 63}",37.281134589120555,23,22.782869789267853,77.21713021073215,2
robot_6d,1716215128,1716215162,3,"{'x': 48, 'y': 32}","{'x': 49, 'y': 63}",60.036054955940514,34,33.63641865892843,66.36358134107158,2
robot_9d,1716215133,1716215163,3,"{'x': 47, 'y': 63}","{'x': 49, 'y': 63}",53.1746335324859,30,28.98104890869515,71.01895109130484,1
robot_6c,1716215132,1716215166,2,"{'x': 48, 'y': 0}","{'x': 49, 'y': 0}",54.34331070062365,34,30.445379664175242,69.55462033582475,2
robot_1a,1716215122,1716215166,0,"{'x': 0, 'y': 13}","{'x': 17, 'y': 0}",62.8094136044095,44,43.57414125431956,56.42585874568045,6
robot_10d,1716215134,1716215167,3,"{'x': 48, 'y': 63}","{'x': 49, 'y': 63}",56.87427123879071,33,31.66762423082768,68.33237576917232,2
robot_5c,1716215130,1716215167,2,"{'x': 47, 'y': 0}","{'x': 49, 'y': 0}",60.24286088205481,37,33.562593676122994,66.43740632387701,2
robot_5b,1716215130,1716215167,1,"{'x': 0, 'y': 49}","{'x': 17, 'y': 63}",63.8924439894498,37,36.2612219947249,63.7387780052751,2
robot_3b,1716215126,1716215168,1,"{'x': 0, 'y': 47}","{'x': 17, 'y': 63}",73.40191907972371,42,41.384011206942596,58.61598879305741,3
robot_12d,1716215138,1716215169,3,"{'x': 51, 'y': 63}","{'x': 49, 'y': 63}",55.59663152408217,31,30.207736083959773,69.79226391604023,1
robot_4c,1716215128,1716215170,2,"{'x': 32, 'y': 18}","{'x': 49, 'y': 0}",68.62825881744251,42,37.755292643816844,62.244707356183156,2
robot_11d,1716215137,1716215171,3,"{'x': 50, 'y': 63}","{'x': 49, 'y': 63}",61.854192994018774,34,33.38918415103187,66.61081584896813,1
robot_2b,1716215124,1716215171,1,"{'x': 0, 'y': 46}","{'x': 17, 'y': 63}",83.73718940704975,47,46.24836437056004,53.75163562943996,2
robot_4d,1716215148,1716215171,3,"{'x': 49, 'y': 63}","{'x': 49, 'y': 63}",40.19950248448356,23,22.401247510875407,56.611694971493876,1
robot_9c,1716215138,1716215172,2,"{'x': 47, 'y': 31}","{'x': 49, 'y': 0}",51.97545245193026,34,30.333439044192485,69.66656095580753,3
robot_10c,1716215139,1716215172,2,"{'x': 48, 'y': 31}","{'x': 49, 'y': 0}",51.69073013655759,33,29.14083080233268,70.85916919766733,2
robot_2a,1716215128,1716215173,0,"{'x': 0, 'y': 14}","{'x': 17, 'y': 0}",68.24619161430996,45,44.43273145290918,55.56726854709083,5
robot_13d,1716215156,1716215174,3,"{'x': 49, 'y': 63}","{'x': 49, 'y': 63}",30.463092423455635,18,17.460019404903733,67.28599926264802,1
robot_15d,1716215143,1716215175,3,"{'x': 63, 'y': 50}","{'x': 49, 'y': 63}",57.72457901259906,32,31.28495959040769,68.7150404095923,1
robot_2d,1716215142,1716215176,3,"{'x': 49, 'y': 63}","{'x': 49, 'y': 63}",59.5712473131741,34,33.22294504870045,50.218718665285735,2
robot_11c,1716215141,1716215177,2,"{'x': 49, 'y': 31}","{'x': 49, 'y': 0}",56.8973495473684,36,31.706744531695477,68.29325546830452,2
robot_12b,1716215150,1716215177,1,"{'x': 15, 'y': 32}","{'x': 17, 'y': 63}",42.30678094846934,27,26.42463191218914,73.57536808781087,3
robot_13b,1716215157,1716215179,1,"{'x': 16, 'y': 32}","{'x': 17, 'y': 63}",38.69397287189416,22,21.34698643594708,78.65301356405291,1
robot_12d,1716215170,1716215180,3,"{'x': 49, 'y': 63}","{'x': 49, 'y': 63}",14.142135623730951,10,9.177133829043457,60.61513008699677,1
robot_6a,1716215149,1716215180,0,"{'x': 0, 'y': 18}","{'x': 17, 'y': 0}",48.929681179092505,31,30.679607905495395,69.3203920945046,3
robot_3a,1716215133,1716215181,0,"{'x': 0, 'y': 15}","{'x': 17, 'y': 0}",75.60648584043855,48,47.078010236168424,52.921989763831576,4
robot_15c,1716215153,1716215181,2,"{'x': 63, 'y': 18}","{'x': 49, 'y': 0}",43.02746106758375,28,24.647894612441863,75.35210538755814,2
robot_9b,1716215140,1716215182,1,"{'x': 0, 'y': 53}","{'x': 17, 'y': 63}",68.9867892588014,42,42.01313723526697,57.98686276473303,3
robot_1d,1716215154,1716215183,3,"{'x': 49, 'y': 63}","{'x': 49, 'y': 63}",49.85779251966835,29,28.19085999778277,41.87224784219624,2
robot_13c,1716215146,1716215183,2,"{'x': 63, 'y': 16}","{'x': 49, 'y': 0}",59.80830548379189,37,33.12915274189595,66.87084725810405,2
robot_7d,1716215152,1716215186,3,"{'x': 49, 'y': 63}","{'x': 49, 'y': 63}",60.36324088338112,34,33.293423840565545,46.7847524442467,2
robot_7c,1716215134,1716215186,2,"{'x': 50, 'y': 0}","{'x': 49, 'y': 0}",85.13882263700584,52,47.29998581487102,52.70001418512899,3
robot_3d,1716215151,1716215187,3,"{'x': 49, 'y': 63}","{'x': 49, 'y': 63}",64.86003116095378,36,35.867336972590294,40.09769278584882,2
robot_5d,1716215158,1716215187,3,"{'x': 49, 'y': 63}","{'x': 49, 'y': 63}",50.900653894673525,29,28.871784128227123,41.582945505414585,2
robot_6d,1716215163,1716215188,3,"{'x': 49, 'y': 63}","{'x': 49, 'y': 63}",42.130239055474185,25,24.542385308988017,41.82119603208356,2
robot_14c,1716215148,1716215190,2,"{'x': 63, 'y': 17}","{'x': 49, 'y': 0}",67.86767583766803,42,37.37678261064102,62.62321738935898,2
robot_11b,1716215145,1716215191,1,"{'x': 14, 'y': 32}","{'x': 17, 'y': 63}",78.70869812728674,46,45.972097784718216,54.02790221528178,3
