robot_id,item_id,item_created_at,item_accepted_at,time_to_get_accepted_in_seconds
robot_1d,7GF3KG2,1716218883,1716218884,1
robot_1a,GALZMK0,1716218883,1716218884,1
robot_1b,8KAYF3Y,1716218883,1716218884,1
robot_1c,PSECTT9,1716218883,1716218884,1
robot_1c,TXQP0FX,1716218884,1716218885,1
robot_1b,YLO6U9A,1716218884,1716218885,1
robot_1a,SS2YO0D,1716218884,1716218885,1
robot_1d,6LQFV3B,1716218884,1716218885,1
robot_1a,NZ83QXS,1716218885,1716218886,1
robot_2c,5RYI5S7,1716218885,1716218886,1
robot_2d,L85SKAT,1716218885,1716218886,1
robot_2b,JCI9W8A,1716218885,1716218886,1
robot_2b,A21UEVC,1716218887,1716218887,0
robot_1a,FQUL8DI,1716218887,1716218887,0
robot_3d,RPBJ72K,1716218887,1716218887,0
robot_2c,WQF7S9V,1716218887,1716218887,0
robot_1a,6XKZP57,1716218888,1716218888,0
robot_4d,94E0E3M,1716218888,1716218888,0
robot_3c,DDQGW5M,1716218888,1716218888,0
robot_3b,2QSHNNF,1716218888,1716218888,0
robot_3c,N4FSR69,1716218889,1716218889,0
robot_1a,0NU8ZI5,1716218889,1716218889,0
robot_5d,PV7S28J,1716218889,1716218889,0
robot_3b,3ITZPRB,1716218889,1716218889,0
robot_4c,E7DAL45,1716218890,1716218890,0
robot_3b,591IT5U,1716218890,1716218890,0
robot_5d,D41T5B2,1716218890,1716218890,0
robot_2a,ACP5SCY,1716218890,1716218890,0
robot_4c,NHHBB78,1716218891,1716218891,0
robot_4b,79KBFX4,1716218891,1716218891,0
robot_6d,3EFWMXP,1716218891,1716218891,0
robot_2a,ECX9KUV,1716218891,1716218891,0
robot_4b,963PF3Q,1716218892,1716218892,0
robot_2a,WLB3QEU,1716218892,1716218892,0
robot_7d,YYZVEPH,1716218892,1716218892,0
robot_5c,MRZBZPX,1716218892,1716218892,0
robot_2a,ZL3GYUY,1716218893,1716218893,0
robot_5c,M0MJX8T,1716218893,1716218893,0
robot_6d,I4QZJIP,1716218893,1716218893,0
robot_5b,DV8DRFY,1716218893,1716218893,0
robot_2a,WIL7ZLV,1716218894,1716218894,0
robot_5b,BTP2UUD,1716218894,1716218894,0
robot_6c,XEET6HP,1716218894,1716218894,0
robot_8d,0SHWRLM,1716218894,1716218894,0
robot_6c,2EYAZNR,1716218895,1716218895,0
robot_8d,8B8MDIO,1716218895,1716218895,0
robot_3a,JHCVQ97,1716218895,1716218895,0
robot_6b,6XOKKOT,1716218895,1716218895,0
robot_9d,AHVCQ9P,1716218896,1716218896,0
robot_7c,EW7DK3S,1716218896,1716218896,0
robot_3a,U3RVD9A,1716218896,1716218896,0
robot_6b,4RABYQM,1716218896,1716218896,0
robot_3a,X024ZT5,1716218897,1716218897,0
robot_7c,R2B6QK7,1716218897,1716218897,0
robot_10d,M3GOMBU,1716218897,1716218897,0
robot_7b,4VP8WNI,1716218897,1716218897,0
robot_7b,Z000151,1716218898,1716218898,0
robot_10d,I7JRGCM,1716218898,1716218898,0
robot_8c,YJQP4SS,1716218898,1716218898,0
robot_3a,MMF5DME,1716218898,1716218898,0
robot_11d,ZF04364,1716218899,1716218899,0
robot_7b,PUDETEG,1716218899,1716218899,0
robot_8c,W0VMY6A,1716218899,1716218899,0
robot_4a,BBR3WDY,1716218899,1716218899,0
robot_8b,CQG9IO7,1716218900,1716218900,0
robot_4a,6S5DW9U,1716218900,1716218900,0
robot_12d,OHU40RL,1716218900,1716218900,0
robot_9c,U24FN7T,1716218900,1716218900,0
robot_4a,QXP84RH,1716218901,1716218901,0
robot_8b,FLNNTGN,1716218901,1716218901,0
robot_13d,7HQR98S,1716218901,1716218901,0
robot_9c,IOHT6RC,1716218901,1716218901,0
robot_4a,2MWRV9H,1716218902,1716218902,0
robot_10c,XM16AIG,1716218902,1716218902,0
robot_14d,P2C080G,1716218902,1716218902,0
robot_9b,3PPFXEW,1716218902,1716218902,0
robot_10c,7INPFZK,1716218903,1716218903,0
robot_4a,ZTQEXL8,1716218903,1716218903,0
robot_12d,F6E98N5,1716218903,1716218903,0
robot_9b,VVLJOPE,1716218903,1716218903,0
robot_9b,680VGEF,1716218904,1716218904,0
robot_11c,ZE3CS8B,1716218904,1716218904,0
robot_2d,9YOEP20,1716218904,1716218904,0
robot_5a,27A0AO1,1716218904,1716218904,0
robot_11c,1YLHTRF,1716218905,1716218905,0
robot_4a,RYEZVCN,1716218905,1716218905,0
robot_10b,HE29Y0X,1716218905,1716218905,0
robot_15d,SQZOA1O,1716218905,1716218905,0
robot_4a,9D2R2K2,1716218906,1716218906,0
robot_10b,MAU93LW,1716218906,1716218906,0
robot_12c,ER19K0T,1716218906,1716218906,0
robot_10b,9GUAXHE,1716218907,1716218907,0
robot_12c,40VZ2UK,1716218907,1716218907,0
robot_5a,15TV61W,1716218907,1716218907,0
robot_5a,6S2ZUZ9,1716218908,1716218908,0
robot_11b,S1E63T1,1716218908,1716218908,0
robot_13c,TJUJ0MS,1716218908,1716218908,0
robot_5a,FOG8TI7,1716218909,1716218909,0
robot_10b,TV7AMIR,1716218909,1716218909,0
robot_13c,MW5O49J,1716218909,1716218909,0
robot_5a,Y218QLU,1716218910,1716218910,0
robot_11b,Y15E3D5,1716218910,1716218910,0
robot_14c,8S2WUMQ,1716218910,1716218910,0
robot_11b,DG957PG,1716218911,1716218911,0
robot_4a,IRFNKX7,1716218911,1716218911,0
robot_14c,WR9JCC2,1716218911,1716218911,0
robot_3d,GXP3MLG,1716218906,1716218911,5
robot_6a,JGRQ7KC,1716218912,1716218912,0
robot_12b,QVWIBWK,1716218912,1716218912,0
robot_4d,6B0TO3A,1716218907,1716218912,5
robot_1c,VUFVBHX,1716218912,1716218913,1
robot_12b,FIQAK7L,1716218913,1716218913,0
robot_6a,DI4SUWM,1716218913,1716218913,0
robot_4d,HL7FEL3,1716218908,1716218913,5
robot_1c,BFYFR82,1716218913,1716218913,0
robot_6a,NHZ93I0,1716218914,1716218914,0
robot_1b,TVGE8VU,1716218914,1716218914,0
robot_1c,IC74TQB,1716218914,1716218914,0
robot_7d,UXLBBOC,1716218909,1716218914,5
robot_6a,V0HUTVK,1716218915,1716218915,0
robot_1b,NG0GN5P,1716218915,1716218915,0
robot_7d,FUXGEVX,1716218910,1716218915,5
robot_15c,2BL3H21,1716218915,1716218915,0
robot_1b,QHG42UL,1716218916,1716218916,0
robot_15c,AQ17O5K,1716218916,1716218916,0
robot_5a,T0SUBU9,1716218916,1716218916,0
robot_1d,0PE620M,1716218911,1716218916,5
robot_12b,CILI344,1716218917,1716218917,0
robot_7c,VHDGVS9,1716218917,1716218917,0
robot_7a,BO2A6IU,1716218917,1716218917,0
robot_13d,VRBXIAI,1716218912,1716218917,5
robot_7a,36ZP17A,1716218918,1716218918,0
robot_1d,46P5DPO,1716218913,1716218918,5
robot_9c,26SJD3Y,1716218918,1716218918,0
robot_13b,8FJF3M6,1716218918,1716218918,0
robot_7a,HIZ3WM7,1716218919,1716218919,0
robot_5d,4EBJ81N,1716218914,1716218919,5
robot_6b,2YL1IRT,1716218919,1716218919,0
robot_8c,R0XE86X,1716218919,1716218920,1
robot_7a,5AI9O89,1716218920,1716218920,0
robot_5d,V2DG4D3,1716218915,1716218920,5
robot_6b,EQVCZH6,1716218920,1716218920,0
robot_8c,DRLBGSE,1716218920,1716218920,0
robot_7a,9N8RB6N,1716218921,1716218921,0
robot_6b,WWYQ8ZU,1716218921,1716218921,0
robot_8c,NWVKW16,1716218921,1716218921,0
robot_8d,8V8O8OU,1716218916,1716218921,5
robot_6b,6GC13W7,1716218922,1716218922,0
robot_7a,5XDFZDG,1716218922,1716218922,0
robot_14d,EQOZC5D,1716218917,1716218922,5
robot_2c,OD6VFF2,1716218922,1716218922,0
robot_4b,O0QPVJ3,1716218923,1716218923,0
robot_7a,4YRYS60,1716218923,1716218923,0
robot_2c,5H573BC,1716218923,1716218923,0
robot_4b,0EWWS1S,1716218924,1716218924,0
robot_8a,N2092WR,1716218924,1716218924,0
robot_2c,AQ8KGFV,1716218924,1716218924,0
robot_4b,7XQ92DF,1716218925,1716218925,0
robot_8a,LES1NI8,1716218925,1716218925,0
robot_3c,7NYK2NB,1716218925,1716218925,0
robot_8a,SCUYCPM,1716218926,1716218926,0
robot_1b,EBSLXJI,1716218926,1716218926,0
robot_3c,5VW04GN,1716218926,1716218926,0
robot_6d,E8B2V30,1716218918,1716218926,8
robot_3c,JCG60W5,1716218927,1716218927,0
robot_7b,TZGDFGB,1716218927,1716218927,0
robot_8a,WUT02WV,1716218927,1716218927,0
robot_8d,75HM17C,1716218919,1716218928,9
robot_7b,KIBLN6Z,1716218928,1716218928,0
robot_8a,HU84L6S,1716218928,1716218928,0
robot_11c,VARW2EY,1716218928,1716218928,0
robot_9d,CMHPGCR,1716218920,1716218928,8
robot_9a,NWGWUWK,1716218929,1716218929,0
robot_8b,Z42S173,1716218929,1716218929,0
robot_6c,VRPRJ45,1716218929,1716218929,0
robot_9d,NA71BPP,1716218921,1716218929,8
robot_6c,7IWJ72I,1716218930,1716218930,0
robot_8b,3LL93AJ,1716218930,1716218930,0
robot_1a,TLP6QUF,1716218930,1716218930,0
robot_10d,BNFD3IY,1716218922,1716218930,8
robot_7b,HIQRJPV,1716218931,1716218931,0
robot_1a,XUDID8E,1716218931,1716218931,0
robot_6c,H3I1MCN,1716218931,1716218931,0
robot_9a,U2S2UYC,1716218932,1716218932,0
robot_8b,P4ETZIC,1716218932,1716218932,0
robot_5c,6UC375E,1716218932,1716218932,0
robot_6d,4IB5DA6,1716218923,1716218932,9
robot_9a,FUDOWZ6,1716218933,1716218933,0
robot_5c,XHDUGBM,1716218933,1716218933,0
robot_12d,LEXEX9T,1716218924,1716218933,9
robot_3b,5NOI57T,1716218933,1716218933,0
robot_9a,4ZAXVW0,1716218934,1716218934,0
robot_5c,0P0E9RY,1716218934,1716218934,0
robot_2b,BVYCNX5,1716218934,1716218934,0
robot_11d,E50CFFV,1716218925,1716218934,9
robot_9a,X51KTJT,1716218935,1716218935,0
robot_4c,VORGAVH,1716218935,1716218935,0
robot_11d,IOR4GKB,1716218926,1716218935,9
robot_4b,TUBMLQG,1716218935,1716218935,0
robot_4c,Z2GHVKV,1716218936,1716218936,0
robot_10a,4P8G7MQ,1716218936,1716218936,0
robot_8b,1L6XTU8,1716218936,1716218936,0
robot_3d,WXPW40E,1716218927,1716218936,9
robot_10a,40HA82T,1716218937,1716218937,0
robot_4c,8ZRH4VD,1716218937,1716218937,0
robot_5b,WX00SF2,1716218937,1716218937,0
robot_9a,HLPYO3O,1716218938,1716218938,0
robot_5b,5GR5Y4E,1716218938,1716218938,0
robot_9c,748UKGJ,1716218938,1716218938,0
robot_2d,PXZT1Z9,1716218928,1716218938,10
robot_2a,T4SW6GA,1716218939,1716218939,0
robot_10c,R6IUZ2E,1716218939,1716218939,0
robot_14b,XC2R2WH,1716218939,1716218939,0
robot_13d,ZBML1HJ,1716218929,1716218939,10
robot_10a,W5OLQ0O,1716218940,1716218940,0
robot_10c,RDT31PK,1716218940,1716218940,0
robot_5b,P75D91K,1716218940,1716218940,0
robot_15d,QR7108M,1716218930,1716218940,10
robot_12b,3V0HLIW,1716218941,1716218941,0
robot_9c,M82H07N,1716218941,1716218941,0
robot_10a,CUN4E5C,1716218941,1716218941,0
robot_2d,QYEXXUD,1716218931,1716218941,10
robot_10a,8BYJQCI,1716218942,1716218942,0
robot_12b,8ZP8XNN,1716218942,1716218942,0
robot_10c,5QNVSQY,1716218942,1716218942,0
robot_11a,3L61NSB,1716218943,1716218943,0
robot_12b,ZF59HFB,1716218943,1716218943,0
robot_10a,ZLRGQLZ,1716218944,1716218944,0
robot_12d,O21ZSO4,1716218932,1716218944,12
robot_13b,VTCQFXL,1716218944,1716218944,0
robot_15c,7UEZMAH,1716218943,1716218944,1
robot_3d,SBQUUM9,1716218933,1716218945,12
robot_11a,2O1BNLV,1716218945,1716218945,0
robot_15c,Y60V5W7,1716218944,1716218945,1
robot_9b,MQNLRT5,1716218945,1716218946,1
robot_2a,R4I54M6,1716218946,1716218946,0
robot_15c,1QF2ZDT,1716218945,1716218946,1
robot_9b,02QX8T5,1716218946,1716218946,0
robot_13c,UAGH3SC,1716218946,1716218947,1
robot_3a,JX9UO4K,1716218947,1716218947,0
robot_9b,UM4ME57,1716218947,1716218947,0
robot_13c,D58NDQR,1716218947,1716218947,0
robot_12d,AZGRRMM,1716218934,1716218947,13
robot_3a,QCEAKHL,1716218948,1716218948,0
robot_13c,878Y55M,1716218948,1716218948,0
robot_13b,19X493H,1716218948,1716218948,0
robot_14d,A17EK5G,1716218935,1716218949,14
robot_3a,QUK68NY,1716218949,1716218949,0
robot_15b,9HETSF8,1716218949,1716218949,0
robot_9c,Q8DNUFU,1716218949,1716218949,0
robot_14d,6EEP2N4,1716218936,1716218949,13
robot_10a,MVFKJ6N,1716218950,1716218950,0
robot_12b,9ZQ4WEM,1716218950,1716218950,0
robot_7c,MPQV5EH,1716218950,1716218950,0
robot_10d,H01AGDN,1716218937,1716218951,14
robot_6a,EN9IUQR,1716218951,1716218951,0
robot_15b,3Q9F98N,1716218951,1716218951,0
robot_7c,E12IZNF,1716218951,1716218951,0
robot_6a,MRFW3E0,1716218952,1716218952,0
robot_4d,GZKNZBG,1716218938,1716218952,14
robot_11c,33KYQZE,1716218952,1716218952,0
robot_16b,R9SLKAD,1716218952,1716218952,0
robot_11a,6GQN9H7,1716218953,1716218953,0
robot_16b,4IPGNRN,1716218953,1716218953,0
robot_14c,AD16JBE,1716218953,1716218954,1
robot_6a,3OPL3D1,1716218954,1716218954,0
robot_14c,3MFBVL9,1716218954,1716218954,0
robot_11a,O1PT4W6,1716218955,1716218955,0
robot_11b,6LIXK3Q,1716218954,1716218955,1
robot_15d,O44DZLE,1716218939,1716218955,16
robot_6a,A0WTQZS,1716218956,1716218956,0
robot_9b,JQ9IQM2,1716218955,1716218956,1
robot_9d,L4CCYWQ,1716218940,1716218956,16
robot_12a,PGA8EQN,1716218957,1716218957,0
robot_17b,2J0AHN2,1716218956,1716218957,1
robot_12a,M2NE9ZC,1716218958,1716218958,0
robot_17b,PUNIEKR,1716218957,1716218958,1
robot_12a,9YG405N,1716218959,1716218959,0
robot_18b,P02VEQ9,1716218958,1716218959,1
robot_18b,5NEUUIR,1716218959,1716218959,0
robot_10a,5K36U3I,1716218960,1716218960,0
robot_19b,X3VVKVL,1716218960,1716218961,1
robot_12a,RHWZ8QL,1716218961,1716218961,0
robot_19b,HTN2G63,1716218961,1716218961,0
robot_12a,2GIO0WO,1716218962,1716218962,0
robot_8c,J0PJ6MC,1716218955,1716218962,7
robot_7a,KK0DF5H,1716218963,1716218963,0
robot_14b,Y7L253S,1716218962,1716218963,1
robot_14b,FKICX02,1716218963,1716218964,1
robot_12a,K8J2BOA,1716218964,1716218964,0
robot_6c,0UFLY49,1716218956,1716218964,8
robot_20b,BEQNO98,1716218964,1716218965,1
robot_13a,ZF67YGE,1716218965,1716218965,0
robot_20b,0L8DOGK,1716218965,1716218965,0
robot_13a,F92C38A,1716218966,1716218966,0
robot_20b,QDO1ANH,1716218966,1716218966,0
robot_13a,PJLW4QK,1716218967,1716218967,0
robot_21b,MPKXLEV,1716218967,1716218967,0
robot_11d,M7L0YKL,1716218941,1716218967,26
robot_21b,X5QCKSW,1716218968,1716218968,0
robot_13a,ZHXEWPM,1716218968,1716218968,0
robot_21b,TMSFY4V,1716218969,1716218969,0
robot_14a,J2K1V44,1716218969,1716218969,0
robot_14a,8ZCE653,1716218970,1716218970,0
robot_22b,G0PRSU5,1716218970,1716218970,0
robot_14a,EETLKXF,1716218971,1716218971,0
